,Titles,NER
12998,louis vuitton cite gm hand tote bag fl0032 purse monogram canvas m51181 70614,"(0, 13, 'Brand'),(14, 21, 'Model'),(22, 26, 'Type'),(27, 31, 'Type'),(32, 35, 'Type'),(36, 42, 'MPN'),(43, 48, 'Type'),(49, 57, 'Pattern'),(58, 64, 'Fabric Type'),(65, 71, 'MPN'),(72, 77, 'No Tag')"
13009,kate spade cobble hill tayler rose cloud leather large tote bag pxru7251 $ 298,"(0, 10, 'Brand'),(11, 22, 'Model'),(23, 29, 'Model'),(30, 34, 'Color'),(35, 40, 'Color'),(41, 48, 'Material'),(49, 54, 'Size'),(55, 59, 'Type'),(60, 63, 'Type'),(64, 72, 'MPN'),(73, 74, 'No Tag'),(75, 78, 'No Tag')"
13021,authentic gucci gg pattern sherry shoulder bag pvc leather blue italy 32md652,"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 18, 'Pattern'),(19, 26, 'No Tag'),(27, 33, 'Product Line'),(34, 42, 'Type'),(43, 46, 'Type'),(47, 58, 'Material'),(59, 63, 'Color'),(64, 69, 'Country/Region of Manufacture'),(70, 77, 'MPN')"
13032,michael kors jet set large saffiano leather convertible crossbody clutch,"(0, 12, 'Brand'),(13, 20, 'Product Line'),(21, 26, 'Size'),(27, 43, 'Material'),(44, 55, 'Features'),(56, 65, 'Type'),(66, 72, 'Type')"
13039,authentic bally vintage leather backpack bag ( black ),"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 23, 'No Tag'),(24, 31, 'Material'),(32, 40, 'Type'),(41, 44, 'Type'),(45, 46, 'No Tag'),(47, 52, 'Color'),(53, 54, 'No Tag')"
13048,fendi zucca fila collaboration 8bm006 a5n7 f1562 shoulder bag pvc khaki un _ 2636,"(0, 5, 'Brand'),(6, 11, 'Pattern'),(12, 16, 'Brand'),(17, 30, 'No Tag'),(31, 37, 'MPN'),(38, 42, 'No Tag'),(43, 48, 'MPN'),(49, 57, 'Type'),(58, 61, 'Type'),(62, 65, 'Material'),(66, 71, 'Color'),(72, 74, 'No Tag'),(75, 76, 'No Tag'),(77, 81, 'No Tag')"
13062,ltd coach lurex gold chenille evening party occasion framed purse tote bag new !,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 15, 'Model'),(16, 20, 'Color'),(21, 29, 'Material'),(30, 43, 'Occasion'),(44, 52, 'No Tag'),(53, 59, 'Style'),(60, 65, 'Type'),(66, 70, 'Type'),(71, 74, 'Type'),(75, 78, 'No Tag'),(79, 80, 'No Tag')"
13075,auth gucci shoulder bag tote gg canvas monogram used beige women purse g0358,"(0, 4, 'No Tag'),(5, 10, 'Brand'),(11, 19, 'Type'),(20, 23, 'Type'),(24, 28, 'Type'),(29, 31, 'Brand'),(32, 38, 'Fabric Type'),(39, 47, 'Pattern'),(48, 52, 'No Tag'),(53, 58, 'Color'),(59, 64, 'Department'),(65, 70, 'Type'),(71, 76, 'No Tag')"
13088,authentic louis vuitton forsyth mini bronze vernis leather hand bag purse # 41786,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 31, 'Model'),(32, 36, 'Size'),(37, 43, 'Color'),(44, 50, 'Product Line'),(51, 58, 'Material'),(59, 67, 'Type'),(68, 73, 'Type'),(74, 75, 'No Tag'),(76, 81, 'No Tag')"
13099,balenciaga atlantique lambskin leather neo folk messenger bag,"(0, 10, 'Brand'),(11, 21, 'Model'),(22, 38, 'Material'),(39, 42, 'Color'),(43, 47, 'Color'),(48, 57, 'Type'),(58, 61, 'Type')"
13106,prada handbag authentic fabric navy black and brown multi tote shoulder bag,"(0, 5, 'Brand'),(6, 13, 'Type'),(14, 23, 'No Tag'),(24, 30, 'Material'),(31, 35, 'Color'),(36, 41, 'Color'),(7, 10, 'No Tag'),(46, 51, 'Color'),(52, 57, 'No Tag'),(58, 62, 'Type'),(63, 71, 'Type'),(10, 13, 'Type')"
13118,"bottega veneta $ 1,780 cervo dark brown deerskin leather woven trim hobo handbag","(0, 14, 'Brand'),(15, 16, 'No Tag'),(17, 22, 'No Tag'),(23, 28, 'Model'),(29, 33, 'Color'),(34, 39, 'Color'),(40, 56, 'Material'),(57, 62, 'Fabric Type'),(63, 67, 'No Tag'),(68, 72, 'Type'),(73, 80, 'Type')"
13129,chanel white leather single flap shoulder bag,"(0, 6, 'Brand'),(7, 12, 'Color'),(13, 20, 'Material'),(21, 32, 'Type'),(33, 41, 'Type'),(42, 45, 'Type')"
13135,authentic louis vuitton ellipse mm monogram hand bag large euc,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 34, 'Model'),(35, 43, 'Pattern'),(44, 52, 'Type'),(53, 58, 'Size'),(59, 62, 'No Tag')"
13142,nwt furla black / onyx pebbled leather jo tote bag $ 428,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 15, 'Color'),(16, 17, 'No Tag'),(18, 22, 'Color'),(23, 30, 'Pattern'),(31, 38, 'Material'),(39, 41, 'No Tag'),(42, 46, 'Type'),(47, 50, 'Type'),(51, 52, 'No Tag'),(53, 56, 'No Tag')"
13154,authentic louis vuitton red damier infini brazza leather wallet,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 27, 'Color'),(28, 34, 'Product Line'),(35, 41, 'Material'),(42, 48, 'Model'),(49, 56, 'Material'),(57, 63, 'Type')"
13162,verified authentic chanel black quilted leather extra large xl tote bag rare,"(0, 8, 'No Tag'),(9, 18, 'No Tag'),(19, 25, 'Brand'),(26, 31, 'Color'),(32, 39, 'Accents'),(40, 47, 'Material'),(48, 53, 'No Tag'),(54, 62, 'Size'),(63, 67, 'Type'),(68, 71, 'Type'),(72, 76, 'No Tag')"
13173,style co straw tote pool beach bag to the beach love summer american flag daisy,"(0, 8, 'Brand'),(9, 14, 'Material'),(15, 19, 'Type'),(20, 30, 'Occasion'),(31, 34, 'Type'),(15, 17, 'No Tag'),(38, 41, 'No Tag'),(25, 30, 'Occasion'),(48, 52, 'No Tag'),(53, 59, 'Season'),(60, 73, 'Theme'),(74, 79, 'Pattern')"
13185,gucci $ 1200 demi lune black half moon curved satchel hobo shoulder bag purse,"(0, 5, 'Brand'),(6, 7, 'No Tag'),(8, 12, 'No Tag'),(13, 17, 'Obscure'),(18, 22, 'No Tag'),(23, 28, 'Color'),(29, 38, 'Features'),(39, 45, 'Style'),(46, 53, 'Type'),(54, 58, 'Type'),(59, 67, 'Type'),(68, 71, 'Type'),(72, 77, 'Type')"
13198,prada milano zebra purse,"(0, 5, 'Brand'),(6, 12, 'Country/Region of Manufacture'),(13, 18, 'Pattern'),(19, 24, 'Type')"
13202,prada nylon shoulder bag set of 2 fair condition authentic # 21,"(0, 5, 'Brand'),(6, 11, 'Material'),(12, 20, 'Type'),(21, 24, 'Type'),(25, 28, 'No Tag'),(29, 31, 'No Tag'),(32, 33, 'No Tag'),(34, 38, 'No Tag'),(39, 48, 'No Tag'),(49, 58, 'No Tag'),(59, 60, 'No Tag'),(61, 63, 'No Tag')"
13214,cowhide leather pencil pen pouch case travel toiletry makeup case stationery bag,"(0, 15, 'Material'),(16, 37, 'Type'),(38, 44, 'Occasion'),(45, 53, 'Obscure'),(54, 65, 'Type'),(66, 76, 'Type'),(77, 80, 'Type')"
13221,authentic louis vuitton pink minilin sachel,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 28, 'Color'),(29, 36, 'Model'),(37, 43, 'Type')"
13226,authentic burberry canvas tote handbag $ 350.00 + free shipping,"(0, 9, 'No Tag'),(10, 18, 'Brand'),(19, 25, 'Fabric Type'),(26, 30, 'Type'),(31, 38, 'Type'),(39, 40, 'No Tag'),(41, 47, 'No Tag'),(48, 49, 'No Tag'),(50, 54, 'No Tag'),(55, 63, 'No Tag')"
13236,gucci vintage gg logo monogram bag handbag beige brown canvas authentic,"(0, 5, 'Brand'),(6, 13, 'No Tag'),(14, 16, 'Brand'),(17, 21, 'Accents'),(22, 30, 'Pattern'),(31, 34, 'Type'),(35, 42, 'Type'),(43, 48, 'Color'),(49, 54, 'Color'),(55, 61, 'Fabric Type'),(62, 71, 'No Tag')"
13247,women girl sanitary napkin towel pads small bag purse holder organizer trendy-sl,"(0, 5, 'Department'),(6, 10, 'Department'),(11, 19, 'Obscure'),(20, 26, 'Obscure'),(27, 32, 'Obscure'),(33, 37, 'Obscure'),(38, 43, 'Size'),(44, 47, 'Type'),(48, 53, 'Type'),(54, 60, 'Obscure'),(61, 70, 'Type'),(71, 80, 'Obscure')"
13259,dooney & bourke it medium shopper tote,"(0, 15, 'Brand'),(16, 18, 'Model'),(19, 25, 'Size'),(26, 33, 'Type'),(34, 38, 'Type')"
13264,louis vuitton handbag tivoli gm monogram brown m40144 pvc leather kacg4411 japan,"(0, 13, 'Brand'),(14, 21, 'Type'),(22, 31, 'Model'),(32, 40, 'Pattern'),(41, 46, 'Color'),(47, 53, 'MPN'),(54, 65, 'Material'),(66, 74, 'No Tag'),(75, 80, 'No Tag')"
13273,pre-owned authentic gucci dionysus gg mini bag,"(0, 9, 'No Tag'),(10, 19, 'No Tag'),(20, 25, 'Brand'),(26, 34, 'Model'),(35, 37, 'Brand'),(38, 42, 'Size'),(43, 46, 'Type')"
13280,coach f15513 ashley black leather carryall shoulder bag tote handbag purse euc,"(0, 5, 'Brand'),(6, 12, 'MPN'),(13, 19, 'Brand'),(20, 25, 'Color'),(26, 33, 'Material'),(34, 42, 'Type'),(43, 51, 'Type'),(52, 55, 'Type'),(56, 60, 'Type'),(61, 68, 'Type'),(69, 74, 'Type'),(75, 78, 'No Tag')"
13292,authentic excellent vintage coach leather hobo mahogany dark brown k7c-4148,"(0, 9, 'No Tag'),(10, 19, 'No Tag'),(20, 27, 'No Tag'),(28, 33, 'Brand'),(34, 41, 'Material'),(42, 46, 'Type'),(47, 55, 'Color'),(56, 60, 'Color'),(61, 66, 'Color'),(67, 75, 'MPN')"
13302,pearl luxury bucket evening bag women hollow out beaded luxury pearls rattan,"(0, 5, 'Accents'),(6, 12, 'Theme'),(13, 19, 'Type'),(20, 27, 'Occasion'),(28, 31, 'Type'),(32, 37, 'Department'),(38, 44, 'No Tag'),(45, 48, 'No Tag'),(49, 55, 'Accents'),(6, 12, 'Theme'),(63, 69, 'Accents'),(70, 76, 'Material')"
13314,authentic gucci red gg marmont matelassé mini bag,"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 19, 'Color'),(20, 30, 'Product Line'),(31, 40, 'Pattern'),(41, 45, 'Size'),(46, 49, 'Type')"
13321,miu miu wristlet / clutch / pouch with matching gift bag & box,"(0, 7, 'Brand'),(8, 16, 'Handle Style'),(17, 18, 'No Tag'),(19, 25, 'Type'),(17, 18, 'No Tag'),(28, 33, 'Type'),(34, 38, 'No Tag'),(39, 47, 'No Tag'),(48, 52, 'No Tag'),(53, 56, 'Type'),(57, 58, 'No Tag'),(59, 62, 'No Tag')"
13333,karl lagerfeld paris leather continental wallet / nwt / various colors,"(0, 20, 'Brand'),(21, 28, 'Material'),(29, 40, 'Style'),(41, 47, 'Type'),(48, 49, 'No Tag'),(50, 53, 'No Tag'),(48, 49, 'No Tag'),(56, 63, 'Obscure'),(64, 70, 'Obscure')"
13342,kate spade black grey street brennan black leather shoulder handbag nwt 398.00,"(0, 10, 'Brand'),(11, 16, 'Color'),(17, 21, 'Color'),(22, 36, 'Model'),(11, 16, 'Color'),(43, 50, 'Material'),(51, 59, 'Type'),(60, 67, 'Type'),(68, 71, 'No Tag'),(72, 78, 'No Tag')"
13352,chanel white lambskin purse -- rare vintage,"(0, 6, 'Brand'),(7, 12, 'Color'),(13, 21, 'Material'),(22, 27, 'Type'),(0, 2, 'No Tag'),(31, 35, 'No Tag'),(36, 43, 'No Tag')"
13359,gucci web sherry line shoulder cross body bag gg pvc leather 471454 brown e4791,"(0, 5, 'Brand'),(6, 21, 'Product Line'),(22, 30, 'Type'),(31, 41, 'Type'),(42, 45, 'Type'),(46, 48, 'Brand'),(49, 60, 'Material'),(61, 67, 'No Tag'),(68, 73, 'Color'),(74, 79, 'No Tag')"
13369,authentic louis vuitton damier neverfull pm tote bag n51109 lv f4123,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 30, 'Product Line'),(31, 43, 'Model'),(44, 48, 'Type'),(49, 52, 'Type'),(53, 59, 'MPN'),(60, 62, 'Brand'),(63, 68, 'MPN')"
13378,coach kristin white leather large hobo - ivory 16787 purse bag ( u600,"(0, 5, 'Brand'),(6, 13, 'Model'),(14, 19, 'Color'),(20, 27, 'Material'),(28, 33, 'Size'),(34, 38, 'Type'),(39, 40, 'No Tag'),(41, 46, 'Color'),(47, 52, 'No Tag'),(53, 58, 'Type'),(59, 62, 'Type'),(63, 64, 'No Tag'),(65, 69, 'No Tag')"
13391,clutch,"(0, 6, 'Type')"
13392,yves saint laurent tote bag black pink inner gift novelty gift bag,"(0, 18, 'Brand'),(19, 23, 'Type'),(24, 27, 'Type'),(28, 33, 'Color'),(34, 38, 'Color'),(39, 44, 'No Tag'),(45, 49, 'No Tag'),(50, 57, 'Theme'),(45, 49, 'No Tag'),(24, 27, 'Type')"
13402,new women vintage brown leather messenger cross body bag handmade purse,"(0, 3, 'No Tag'),(4, 9, 'Department'),(10, 17, 'No Tag'),(18, 23, 'Color'),(24, 31, 'Material'),(32, 41, 'Type'),(42, 52, 'Type'),(53, 56, 'Type'),(57, 65, 'No Tag'),(66, 71, 'Type')"
13412,chanel quilted fringe cc shoulder bag 3231369 purse beige france lambskin 81575,"(0, 6, 'Brand'),(7, 21, 'Accents'),(22, 24, 'Brand'),(25, 33, 'Type'),(34, 37, 'Type'),(38, 45, 'No Tag'),(46, 51, 'Type'),(52, 57, 'Color'),(58, 64, 'Country/Region of Manufacture'),(65, 73, 'Material'),(74, 79, 'No Tag')"
13423,gucci gg pattern crossbody shoulder bag canvas leather brown italy 33mi902,"(0, 5, 'Brand'),(6, 8, 'Pattern'),(9, 16, 'No Tag'),(17, 35, 'Type'),(36, 39, 'Type'),(40, 46, 'Fabric Type'),(47, 54, 'Material'),(55, 60, 'Color'),(61, 66, 'Country/Region of Manufacture'),(67, 74, 'MPN')"
13433,michael kors vanessa medium satchel black leather chain convertible bag nwt,"(0, 12, 'Brand'),(13, 20, 'Model'),(21, 27, 'Size'),(28, 35, 'Type'),(36, 41, 'Color'),(42, 49, 'Material'),(50, 55, 'Handle/Strap Material'),(56, 67, 'Features'),(68, 71, 'Type'),(72, 75, 'No Tag')"
13443,gucci velvet matelasse medium gg marmont shoulder bag black authentic ❤,"(0, 5, 'Brand'),(6, 12, 'Material'),(13, 22, 'Pattern'),(23, 29, 'Size'),(30, 40, 'Product Line'),(41, 49, 'Type'),(50, 53, 'Type'),(54, 59, 'Color'),(60, 69, 'No Tag'),(70, 71, 'No Tag')"
13453,genuine vintage bally black leather shoulder bag purse flap brass accents,"(0, 7, 'No Tag'),(8, 15, 'No Tag'),(16, 21, 'Brand'),(22, 27, 'Color'),(28, 35, 'Material'),(36, 44, 'Type'),(45, 48, 'Type'),(49, 54, 'Type'),(55, 59, 'Type'),(60, 65, 'Hardware Material'),(66, 73, 'No Tag')"
13464,"colorful dragonfly tote bag lovely animal bag gift for women hand bag , tote bag","(0, 8, 'No Tag'),(9, 18, 'Theme'),(19, 23, 'Type'),(24, 27, 'Type'),(28, 34, 'No Tag'),(35, 41, 'No Tag'),(24, 27, 'Type'),(46, 50, 'No Tag'),(51, 54, 'No Tag'),(55, 60, 'Department'),(61, 69, 'Type'),(70, 71, 'No Tag'),(19, 23, 'Type'),(24, 27, 'Type')"
13478,valentino vltn belt bag nylon,"(0, 9, 'Brand'),(10, 14, 'No Tag'),(15, 19, 'Type'),(20, 23, 'Type'),(24, 29, 'Material')"
13483,new authentic salvatore ferragamo black nylon leather shoulder bag italy,"(0, 3, 'No Tag'),(4, 13, 'No Tag'),(14, 33, 'Brand'),(34, 39, 'Color'),(40, 45, 'Material'),(46, 53, 'Trim Material'),(54, 62, 'Type'),(63, 66, 'Type'),(67, 72, 'Country/Region of Manufacture')"
13492,chanel cc bicolore 2way travel boston hand bag 2307886 black lambskin 93032,"(0, 6, 'Brand'),(7, 9, 'Model'),(10, 18, 'Product Line'),(19, 23, 'Features'),(24, 30, 'Occasion'),(31, 37, 'Type'),(38, 46, 'Type'),(47, 54, 'No Tag'),(55, 60, 'Color'),(61, 69, 'Material'),(70, 75, 'No Tag')"
13503,louis vuitton spontini 2way hand bag purse monogram m47500 ar1002 02533,"(0, 13, 'Brand'),(14, 22, 'Model'),(23, 27, 'Features'),(28, 36, 'Type'),(37, 42, 'Type'),(43, 51, 'Pattern'),(52, 71, 'MPN')"
13510,vintage monet m logo canvas and leather large shoulder bucket bag adj strap,"(0, 7, 'No Tag'),(8, 13, 'Brand'),(8, 14, 'Accents'),(21, 27, 'Fabric Type'),(28, 31, 'No Tag'),(32, 39, 'Material'),(40, 45, 'Size'),(46, 54, 'Type'),(55, 61, 'Type'),(62, 65, 'Type'),(66, 75, 'Handle Style')"
13521,burberry macken house check derby leather canvas crossbody bag,"(0, 8, 'Brand'),(9, 15, 'Model'),(16, 27, 'Pattern'),(28, 33, 'Model'),(34, 41, 'Material'),(42, 48, 'Fabric Type'),(49, 58, 'Type'),(59, 62, 'Type')"
13529,gucci gg blooms & beige reversible tote bag women used from japan f / s fedex ksmi,"(0, 5, 'Brand'),(6, 8, 'Brand'),(9, 15, 'Model'),(16, 17, 'No Tag'),(18, 23, 'Color'),(24, 34, 'Features'),(35, 39, 'Type'),(40, 43, 'Type'),(44, 49, 'Department'),(50, 54, 'No Tag'),(55, 59, 'No Tag'),(60, 65, 'No Tag'),(55, 56, 'No Tag'),(68, 69, 'No Tag'),(14, 15, 'No Tag'),(72, 77, 'No Tag'),(78, 82, 'No Tag')"
13546,$ 3000 ! judith leiber chocolate bar minaudiere bag silver yellow gold crystals,"(0, 1, 'No Tag'),(2, 6, 'No Tag'),(7, 8, 'No Tag'),(9, 22, 'Brand'),(23, 36, 'Product Line'),(37, 47, 'Style'),(48, 51, 'Type'),(52, 58, 'Color'),(59, 65, 'Color'),(66, 70, 'Color'),(71, 79, 'Accents')"
13557,louis vuitton pochette metis monogram reverse canvas m44875,"(0, 13, 'Brand'),(14, 22, 'Product Line'),(23, 28, 'Model'),(29, 37, 'Pattern'),(38, 45, 'Style'),(46, 52, 'Fabric Type'),(53, 59, 'MPN')"
13564,nwt coach metallic rhyder 33 elevated convertible satchel gunmetal f33740,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 18, 'Color'),(19, 28, 'Model'),(29, 49, 'Features'),(50, 57, 'Type'),(58, 66, 'Hardware Material'),(67, 73, 'MPN')"
13572,100 % authentic prada nero large nappa leather drawstring bag,"(0, 3, 'No Tag'),(4, 5, 'No Tag'),(6, 15, 'No Tag'),(16, 21, 'Brand'),(22, 26, 'Color'),(27, 32, 'Size'),(33, 46, 'Material'),(47, 57, 'Closure'),(58, 61, 'Type')"
13581,tumi tote bag,"(0, 4, 'Brand'),(5, 9, 'Type'),(10, 13, 'Type')"
13584,prada canvas and leather crossbody camera bag,"(0, 5, 'Brand'),(6, 12, 'Fabric Type'),(13, 16, 'No Tag'),(17, 24, 'Material'),(25, 34, 'Type'),(35, 41, 'No Tag'),(42, 45, 'Type')"
13591,fendi zucca canvas mamma baguette shoulder bag # 54478 free shipping from japan,"(0, 5, 'Brand'),(6, 11, 'Pattern'),(12, 18, 'Fabric Type'),(19, 24, 'Product Line'),(25, 33, 'Type'),(34, 42, 'Type'),(25, 28, 'Type'),(47, 48, 'No Tag'),(49, 54, 'No Tag'),(55, 59, 'No Tag'),(60, 68, 'No Tag'),(69, 73, 'No Tag'),(74, 79, 'No Tag')"
13604,auth chanel boston vintage rare bag quilted w / strap,"(0, 4, 'No Tag'),(5, 11, 'Brand'),(12, 18, 'Type'),(19, 26, 'No Tag'),(27, 31, 'No Tag'),(32, 35, 'Type'),(36, 43, 'Accents'),(44, 45, 'No Tag'),(46, 47, 'No Tag'),(48, 53, 'Handle Style')"
13614,kipling gabbie crossbody bag multiple compartments adjustable strap,"(0, 7, 'Brand'),(8, 14, 'Model'),(15, 24, 'Type'),(25, 28, 'Type'),(29, 50, 'Features'),(51, 61, 'Features'),(62, 67, 'Handle Style')"
13621,anteprima small tote bag,"(0, 9, 'Brand'),(10, 15, 'Size'),(16, 20, 'Type'),(21, 24, 'Type')"
13625,gucci vintage 80 's cross body bag pre owned,"(0, 5, 'Brand'),(6, 13, 'No Tag'),(14, 19, 'Theme'),(20, 30, 'Type'),(31, 34, 'Type'),(35, 38, 'No Tag'),(39, 44, 'No Tag')"
13632,brighton bucket tote shoulder bag leather braided woven straps croc vintage,"(0, 8, 'Brand'),(9, 15, 'Type'),(16, 20, 'Type'),(21, 29, 'Type'),(30, 33, 'Type'),(34, 41, 'Material'),(42, 55, 'Fabric Type'),(56, 62, 'Handle Style'),(63, 67, 'Pattern'),(68, 75, 'No Tag')"
13642,louis vuitton eva 2way chain hand bag pouch purse monogram m95567 sn2111 70751,"(0, 13, 'Brand'),(14, 17, 'Model'),(18, 22, 'Features'),(23, 28, 'Handle/Strap Material'),(29, 37, 'Type'),(38, 43, 'Type'),(44, 49, 'Type'),(50, 58, 'Pattern'),(59, 65, 'MPN'),(66, 72, 'MPN'),(73, 78, 'No Tag')"
13653,fendi zucca large travel duffle boston bag brown vintage canvas authentic,"(0, 5, 'Brand'),(6, 11, 'Pattern'),(12, 17, 'Size'),(18, 24, 'Occasion'),(25, 31, 'Type'),(32, 38, 'Type'),(39, 42, 'Type'),(43, 48, 'Color'),(49, 56, 'No Tag'),(57, 63, 'Fabric Type'),(64, 73, 'No Tag')"
13664,goyard tote bag navy blue pvc 413959,"(0, 6, 'Brand'),(7, 11, 'Type'),(12, 15, 'Type'),(16, 20, 'Color'),(21, 25, 'Color'),(26, 29, 'Material'),(30, 36, 'No Tag')"
13671,calvin klein black saffiano leather reese floral convertible satchel bag $ 268,"(0, 12, 'Brand'),(13, 18, 'Color'),(19, 41, 'Material'),(42, 48, 'Pattern'),(49, 60, 'Features'),(61, 68, 'Type'),(69, 72, 'Type'),(73, 74, 'No Tag'),(75, 78, 'No Tag')"
13680,foldable fashion reusable shopping bag handbag grocery tote shoulder bag pouch,"(0, 8, 'Features'),(9, 16, 'No Tag'),(17, 25, 'Features'),(26, 34, 'Type'),(35, 38, 'Type'),(39, 46, 'Type'),(47, 54, 'Occasion'),(55, 59, 'Type'),(60, 68, 'Type'),(35, 38, 'Type'),(73, 78, 'Type')"
13691,timmy woods swarovski crystal red heart kate spade glitter earrings lot purse,"(0, 11, 'Brand'),(12, 21, 'Accents'),(22, 29, 'Obscure'),(30, 33, 'Color'),(34, 39, 'Obscure'),(40, 44, 'Obscure'),(45, 50, 'Obscure'),(51, 58, 'Obscure'),(59, 67, 'Obscure'),(68, 71, 'Obscure'),(72, 77, 'Type')"
13702,vera bradley petal power blue long string purse - rare - used,"(0, 12, 'Brand'),(13, 24, 'Model'),(25, 29, 'Color'),(30, 34, 'Handle Style'),(35, 41, 'Handle/Strap Material'),(42, 47, 'Type'),(48, 49, 'No Tag'),(50, 54, 'No Tag'),(48, 49, 'No Tag'),(57, 61, 'No Tag')"
13712,chloe mini marcie round saddle leather crossbody shoulder bag grey nwt,"(0, 5, 'Brand'),(6, 10, 'Size'),(11, 17, 'Model'),(18, 23, 'Style'),(24, 30, 'Type'),(31, 38, 'Material'),(39, 48, 'Type'),(49, 57, 'Type'),(58, 61, 'Type'),(62, 66, 'Color'),(67, 70, 'No Tag')"
13723,alexander wang taupe grey dumbo leather rose gold studded rocco duffle bag,"(0, 14, 'Brand'),(15, 20, 'Color'),(21, 25, 'Color'),(26, 31, 'No Tag'),(32, 39, 'Material'),(40, 44, 'Color'),(45, 49, 'Color'),(50, 57, 'Accents'),(58, 63, 'Model'),(64, 70, 'Type'),(71, 74, 'Type')"
13734,"disney mickey mouse 11 "" backpack purse all over print carry all bag 2 in one nwt","(0, 6, 'Brand'),(7, 19, 'Character'),(20, 22, 'Measurement, dimension'),(34, 39, 'Type'),(40, 48, 'Features'),(49, 54, 'No Tag'),(55, 64, 'Type'),(65, 68, 'Type'),(69, 77, 'Features'),(78, 81, 'No Tag')"
13744,vintage paisley relic purse embossed tooled brown leather adjustable crossbody,"(0, 7, 'No Tag'),(8, 15, 'Pattern'),(16, 21, 'Theme'),(22, 27, 'Type'),(28, 43, 'Accents'),(44, 49, 'Color'),(50, 57, 'Material'),(58, 68, 'Features'),(69, 78, 'Type')"
13753,new england patriots -- machine-quilted tote bag,"(0, 3, 'No Tag'),(4, 20, 'Theme'),(0, 2, 'No Tag'),(24, 39, 'Features'),(40, 44, 'Type'),(45, 48, 'Type')"
13759,women canvas shoulder bag rucksack handbag casual convertible backpack tote bag,"(0, 5, 'Department'),(6, 12, 'Fabric Type'),(13, 21, 'Type'),(22, 25, 'Type'),(26, 34, 'Type'),(35, 42, 'Type'),(43, 49, 'Occasion'),(50, 61, 'Features'),(62, 70, 'Type'),(71, 75, 'Type'),(22, 25, 'Type')"
13770,chanel deauville drawstring bucket bag raffia with glitter detail medium,"(0, 6, 'Brand'),(7, 16, 'Model'),(17, 27, 'Closure'),(28, 34, 'Type'),(35, 38, 'Type'),(39, 45, 'Material'),(46, 50, 'No Tag'),(51, 58, 'Accents'),(59, 65, 'No Tag'),(66, 72, 'Size')"
13780,cream cotton bucket style shoulder bag w / cinch strap pocket,"(0, 5, 'Color'),(6, 12, 'Material'),(13, 19, 'Type'),(20, 25, 'No Tag'),(26, 34, 'Type'),(35, 38, 'Type'),(39, 40, 'No Tag'),(41, 42, 'No Tag'),(43, 54, 'Handle Style'),(55, 61, 'Features')"
13790,louis vuitton riviera hand tote bag th0046 purse monogram m47501 sp order 80313,"(0, 13, 'Brand'),(14, 21, 'Model'),(22, 26, 'Type'),(27, 31, 'Type'),(32, 35, 'Type'),(36, 42, 'No Tag'),(43, 48, 'Type'),(49, 57, 'Pattern'),(58, 64, 'MPN'),(65, 67, 'No Tag'),(68, 73, 'No Tag'),(74, 79, 'No Tag')"
13802,b makowsky ivory / multi color leather hobo - gr8 !,"(0, 10, 'Brand'),(11, 16, 'Color'),(17, 18, 'No Tag'),(19, 24, 'Color'),(25, 30, 'Color'),(31, 38, 'Material'),(39, 43, 'Type'),(44, 45, 'No Tag'),(46, 49, 'No Tag'),(50, 51, 'No Tag')"
13812,soda pop beer silver tab black crochet cross body shoulder bag purse,"(0, 13, 'Model'),(14, 20, 'Color'),(21, 24, 'No Tag'),(25, 30, 'Color'),(31, 38, 'Fabric Type'),(39, 49, 'Type'),(50, 58, 'Type'),(59, 62, 'Type'),(63, 68, 'Type')"
13821,vera bradley large traveler duffel bag mod floral pink retired brown red,"(0, 12, 'Brand'),(13, 18, 'Size'),(19, 27, 'Model'),(28, 34, 'Type'),(35, 38, 'Type'),(39, 42, 'No Tag'),(43, 49, 'Pattern'),(50, 54, 'Color'),(55, 62, 'No Tag'),(63, 68, 'Color'),(59, 62, 'Color')"
13832,victoria 's secret love our sexy best ivory / cream beach tote bag handbag,"(0, 18, 'Brand'),(19, 23, 'Theme'),(24, 37, 'Model'),(38, 43, 'Color'),(44, 45, 'No Tag'),(46, 51, 'Color'),(52, 57, 'Occasion'),(58, 62, 'Type'),(63, 66, 'Type'),(67, 74, 'Type')"
13842,new wt black extra large bebe leather purse jane studded zip tote w insert bag,"(0, 3, 'No Tag'),(4, 6, 'Brand'),(7, 12, 'Color'),(13, 18, 'No Tag'),(19, 24, 'Size'),(25, 29, 'Model'),(30, 37, 'Material'),(38, 43, 'Type'),(44, 48, 'Model'),(49, 56, 'Accents'),(57, 60, 'Closure'),(61, 65, 'Type'),(2, 3, 'No Tag'),(68, 74, 'No Tag'),(75, 78, 'Type')"
